"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
9.27033939462398e-23,3.77458962707794,0.022,0.002,3.39303692182632e-18,"0","AC079779.1"
1.05855683526188e-165,3.37492116388096,0.181,0.021,3.87442387274201e-161,"0","ANKRD55"
2.94549191211583e-23,3.35322580256393,0.027,0.003,1.07807949475352e-18,"0","RNF175"
5.59487713214143e-09,3.32912705332611,0.011,0.002,0.000204778097913509,"0","KRT72"
2.00923039478579e-12,3.29623346147011,0.014,0.002,7.35398416795547e-08,"0","MIR99AHG"
2.15886689842529e-232,3.15930766451076,0.274,0.04,7.90166873492639e-228,"0","ADTRP"
4.48983982092832e-18,3.14313510323197,0.021,0.003,1.64332627285797e-13,"0","AC008892.1"
8.05456769357591e-14,3.10687376089669,0.016,0.002,2.94805232152572e-09,"0","SMARCA1"
1.93802230093541e-11,3.07073598688513,0.014,0.002,7.0933554236537e-07,"0","SORCS3"
4.63959762558086e-15,3.06431894028033,0.017,0.002,1.69813912693885e-10,"0","SLC22A31"
1.18057745811174e-14,5.6444800189976,0.011,0.001,4.32103155443479e-10,"1","TNFAIP6"
5.16440684787316e-37,5.58390942869792,0.026,0.001,1.89022455039005e-32,"1","SERPINB10"
1.45003116524363e-18,4.87233057400985,0.015,0.001,5.30725906790821e-14,"1","RNF150"
4.64404416345332e-26,4.56102852903215,0.025,0.002,1.69976660426555e-21,"1","CXCL8"
7.24682757105915e-43,4.16264074623173,0.041,0.003,2.65241135928336e-38,"1","VNN1"
1.83870426891705e-19,4.07533020746092,0.02,0.002,6.72984149466328e-15,"1","AC011472.3"
6.85103315149718e-72,3.99908183952359,0.057,0.003,2.50754664377948e-67,"1","SERPINB2"
5.34975176121517e-12,3.97667169871832,0.012,0.001,1.95806264212237e-07,"1","ELOVL3"
1.20538362132032e-10,3.96366628004045,0.011,0.001,4.41182459239449e-06,"1","AL355922.1"
5.72991383945977e-11,3.94640717799708,0.01,0.001,2.09720576438067e-06,"1","ZNF503-AS2"
3.56441982713094e-45,6.11782421736904,0.029,0.001,1.3046133009282e-40,"2","CCR8"
2.19988770325943e-29,5.98939701554167,0.018,0,8.05180898269982e-25,"2","AKAP12"
2.12671359217165e-33,5.85599844921971,0.021,0,7.78398441870746e-29,"2","HRH4"
4.19809534054131e-222,5.58448720628025,0.16,0.005,1.53654487559152e-217,"2","IATPR"
1.45809010750495e-257,5.48322818587081,0.193,0.007,5.33675560247888e-253,"2","CCR4"
1.18538285390734e-22,5.45880413522832,0.015,0,4.33861978358626e-18,"2","LINC01727"
5.7999505740473e-19,5.21932838482753,0.014,0.001,2.12283990960705e-14,"2","DUSP4"
1.05734799952638e-18,4.98200682444176,0.012,0,3.86999941306651e-14,"2","PAK3"
1.93144593957836e-12,4.88322280553246,0.01,0.001,7.06928528345074e-08,"2","ANKS1B"
3.18404142855525e-24,4.80590824959063,0.018,0.001,1.16539100326551e-19,"2","NLGN4Y"
1.25874796333744e-24,6.38084125706124,0.015,0,4.60714342061137e-20,"3","BIRC7"
1.18368864261328e-45,6.01831938630121,0.028,0,4.33241880082886e-41,"3","PRDM5"
4.25205318880709e-234,5.79650089621504,0.162,0.004,1.55629398763528e-229,"3","SFRP5"
8.38150152082909e-37,5.28846523976978,0.026,0.001,3.06771337163865e-32,"3","AL033523.1"
6.28790660620553e-185,5.15458921946166,0.141,0.005,2.30143669693729e-180,"3","AL590006.1"
0,5.09492805001294,0.778,0.037,0,"3","LINC02446"
1.609952095864e-181,4.79731431786416,0.147,0.006,5.89258566607183e-177,"3","REG4"
0,4.69184643739758,0.988,0.069,0,"3","CD8B"
2.90791194226959e-33,4.6770392531334,0.027,0.001,1.06432484999009e-28,"3","ROBO1"
1.50588060084279e-120,4.37157489613959,0.106,0.005,5.51167358714469e-116,"3","MXRA8"
2.81310249824802e-87,12.8341634387543,0.048,0,1.02962364538376e-82,"4","LYPD2"
6.88177690119903e-114,9.99512177840707,0.066,0,2.51879916360786e-109,"4","C1QA"
4.54399882062918e-23,8.34650897870276,0.016,0,1.66314900833849e-18,"4","C1QB"
5.71993863920305e-33,7.73959829017112,0.018,0,2.09355474133471e-28,"4","ZBTB7C"
1.31140938948491e-24,7.29393315150896,0.013,0,4.79988950645373e-20,"4","DOC2B"
2.39524307301053e-49,7.15960807117942,0.028,0,8.76682917152584e-45,"4","LINC02185"
1.29607034346035e-30,6.99165938872376,0.018,0,4.74374706409922e-26,"4","RASL10A"
9.02391001136537e-64,6.36487421788787,0.041,0.001,3.30284130325984e-59,"4","VMO1"
5.26766212873467e-41,6.07520488088413,0.023,0,1.92801701573818e-36,"4","AC020651.2"
4.70035763964469e-45,5.92468445438908,0.028,0,1.72037789968635e-40,"4","CLEC4F"
5.85808644570923e-68,14.0595186437106,0.037,0,2.14411821999403e-63,"5","IGKV1-8"
4.10476370580127e-50,12.944211719102,0.027,0,1.50238456396032e-45,"5","IGKV1-17"
8.14737263692041e-35,12.6532093781988,0.018,0,2.98201985883924e-30,"5","IGLV8-61"
1.73376655014398e-19,12.2257865045666,0.01,0,6.34575895018197e-15,"5","IGKV1-6"
2.29350886424984e-37,11.9867363014293,0.02,0,8.39447179404082e-33,"5","IGHV3-66"
1.32585648123421e-24,11.9107946021663,0.013,0,4.85276730696533e-20,"5","IGKV1D-43"
1.32585648123421e-24,11.7018435685101,0.013,0,4.85276730696533e-20,"5","IGLV5-45"
1.33258295902295e-123,11.5963309404452,0.07,0,4.87738688831989e-119,"5","IGHV1-2"
3.45960846188043e-108,11.5840110167112,0.063,0,1.26625129313286e-103,"5","IGHV3-33"
8.14737263692041e-35,11.5521893328602,0.018,0,2.98201985883924e-30,"5","IGHV3-53"
5.73587845224559e-06,4.03738572459168,0.012,0.002,0.209938887230641,"6","AC007216.3"
2.3287572146931e-12,3.97795928812164,0.025,0.003,8.5234842814982e-08,"6","LRRC4"
4.61134410536169e-07,3.86432384567513,0.012,0.002,0.0168779805600343,"6","ARHGEF17"
4.65507469852057e-07,3.60728441703509,0.012,0.002,0.0170380389040551,"6","AL591623.1"
1.2926857603431e-05,3.56066388039198,0.016,0.003,0.473135915143179,"6","AC104564.5"
2.73257201352421e-05,3.52001796581388,0.01,0.002,1,"6","SATB2-AS1"
0.00156979368429214,3.39858082102296,0.012,0.003,1,"6","AC007336.1"
5.65916167797789e-05,3.36547965367413,0.01,0.002,1,"6","AC068491.3"
0.000108808638648876,3.33863423660824,0.01,0.002,1,"6","AC010680.3"
2.2132844972217e-05,3.30538594937347,0.012,0.002,0.810084258828115,"6","AC019171.1"
1.40802263271447e-138,10.6850787333279,0.073,0,5.15350363799823e-134,"7","COL13A1"
5.66665000699705e-143,9.76625881495331,0.08,0,2.07405056906099e-138,"7","LIM2"
1.96101991668915e-106,9.37678748330554,0.058,0,7.17752899707395e-102,"7","PCDH1"
2.45796359613216e-47,9.05236737947378,0.024,0,8.99639255820333e-43,"7","AC017104.6"
0,9.03264675589532,0.401,0.001,0,"7","NCR1"
1.34575478399508e-243,9.02242080984126,0.136,0,4.92559708490041e-239,"7","ADAMTS1"
1.19522580393286e-179,9.01054006470263,0.102,0,4.37464596497466e-175,"7","SLC1A7"
0,8.91535868879279,0.282,0.001,0,"7","NCAM1"
5.02459444925273e-70,8.89733678359495,0.039,0,1.83905181437099e-65,"7","LEXM"
0,8.87802390716312,0.732,0.004,0,"7","SH2D1B"
1.0675031752784e-30,8.99976782573697,0.015,0,3.90716837183647e-26,"8","AC011139.1"
4.90351783964682e-50,8.63461418208579,0.026,0,1.79473656448913e-45,"8","NPR3"
1.0675031752784e-30,8.5654058028189,0.015,0,3.90716837183647e-26,"8","CPA3"
7.44233702867847e-26,7.98842776066886,0.013,0,2.72396977586661e-21,"8","TMEM155"
6.19447293121634e-31,7.90991844428553,0.018,0,2.26723903755449e-26,"8","RTP5"
1.80468672638246e-40,7.81778046543363,0.023,0,6.60533388723244e-36,"8","MYCN"
2.26322426420415e-40,7.59050798956325,0.021,0,8.28362712941359e-36,"8","C3orf80"
1.54846055374606e-35,7.55638622366657,0.018,0,5.66752047276594e-31,"8","PROM1"
1.0675031752784e-30,7.42152741860765,0.015,0,3.90716837183647e-26,"8","LINC02573"
5.27884465525868e-21,7.21724713773868,0.01,0,1.93210993227123e-16,"8","HJURP"
0,9.50522970549583,0.205,0,0,"9","IL23R"
2.48911915581428e-174,9.17614779684004,0.094,0,9.11042502219585e-170,"9","PRSS35"
2.39700189842682e-129,8.6368367122164,0.071,0,8.77326664843199e-125,"9","AC010967.1"
0,8.0992345469788,0.61,0.004,0,"9","SLC4A10"
5.30278649814674e-40,7.78233555403578,0.024,0,1.94087288618669e-35,"9","AC114930.1"
2.26003532279144e-47,7.66040310850116,0.028,0,8.27195528494895e-43,"9","DAB2IP"
0,7.42972843735541,0.386,0.004,0,"9","TRDV2"
3.27921554118076e-82,7.19266008274544,0.055,0,1.20022568022757e-77,"9","ROR2"
1.71245416250701e-51,6.98357640261945,0.035,0,6.26775348019189e-47,"9","TRGV11"
0,6.57881725076646,0.287,0.005,0,"9","SCART1"
0,10.622667682147,0.21,0,0,"10","CLEC9A"
1.0438264163647e-167,9.9305645819379,0.086,0,3.82050906653645e-163,"10","XCR1"
2.77594040914584e-149,8.71717143484153,0.076,0,1.01602194915147e-144,"10","IDO2"
2.77594040914584e-149,8.63140580920242,0.076,0,1.01602194915147e-144,"10","ERICH5"
5.22823776271656e-94,8.56348310367977,0.048,0,1.91358730353189e-89,"10","ENOX1"
1.95856448701593e-112,8.54271181529065,0.057,0,7.16854187892702e-108,"10","PPY"
5.22823776271656e-94,8.45549701927091,0.048,0,1.91358730353189e-89,"10","LINC02206"
6.17600089427733e-156,8.30146797919744,0.124,0.001,2.26047808731445e-151,"10","IDO1"
2.61406430086871e-96,8.19511819736546,0.057,0,9.56773674760956e-92,"10","AC099560.1"
1.12788789419081e-38,8.18359207105938,0.019,0,4.12818248152779e-34,"10","ADGB"
0,14.5736936654412,0.983,0,0,"11","LRRC26"
0,13.469429208014,0.733,0,0,"11","AC097375.1"
0,12.9279549528759,0.483,0,0,"11","COL26A1"
0,12.3843445185028,0.383,0,0,"11","AL513493.1"
0,11.8320428573941,0.333,0,0,"11","NLRP7"
0,11.8224409842643,0.233,0,0,"11","TTC39A"
0,11.6664798193349,0.483,0,0,"11","SHD"
0,11.5608257278664,0.283,0,0,"11","SMOC1"
0,11.5223254077537,0.3,0,0,"11","KIRREL3"
0,11.4296344440012,0.183,0,0,"11","EPHA2"
0,13.7757967379901,0.727,0,0,"12","AP001189.1"
0,13.6595837805654,0.636,0,0,"12","AC090409.1"
0,13.5437118907551,0.568,0,0,"12","PF4V1"
0,13.4134818322839,0.182,0,0,"12","SLFN14"
0,13.4078958341579,0.614,0,0,"12","LY6G6F"
0,13.3940516700195,0.818,0,0,"12","AL731557.1"
0,13.3583168103232,1,0.001,0,"12","GP1BB"
0,13.3331380054644,0.545,0,0,"12","TRAPPC3L"
0,13.2183658075499,0.227,0,0,"12","SCGB1C1"
0,13.2025100215192,0.591,0,0,"12","CTTN"
4.00073486715207e-69,10.1845347753572,0.034,0,1.46430896872633e-64,"13","PAX2"
4.00073486715207e-69,9.35655655514625,0.034,0,1.46430896872633e-64,"13","OR2T8"
4.00073486715207e-69,9.34145010390836,0.034,0,1.46430896872633e-64,"13","AC092134.3"
4.00073486715207e-69,9.21611429380505,0.034,0,1.46430896872633e-64,"13","COX6B2"
4.00073486715207e-69,9.20520609976676,0.034,0,1.46430896872633e-64,"13","AL157823.2"
4.00073486715207e-69,9.20520609976676,0.034,0,1.46430896872633e-64,"13","AC021231.1"
4.00073486715207e-69,9.18661008557375,0.034,0,1.46430896872633e-64,"13","AC106873.1"
3.05482276754223e-35,9.11937545995922,0.034,0,1.11809568114813e-30,"13","AC008395.1"
4.00073486715207e-69,9.05066580184391,0.034,0,1.46430896872633e-64,"13","AC079684.1"
4.00073486715207e-69,9.02086722896242,0.034,0,1.46430896872633e-64,"13","RMDN2-AS1"
4.00073486715207e-69,9.02086722896242,0.034,0,1.46430896872633e-64,"13","AL671883.3"
